text,label
"This should be 3.5 stars. I really enjoyed it, but found it all kind of random and leading nowhere. That being said, it was very imaginative and entertaining. Hrun the Barbarian was one of my favorites, as was anything the Luggage did.",reaction
"** spoiler alert ** 
 Just finished this and have to say I really enjoyed it. I was kind of worried the plot wasn't going anywhere for much of it, but the writing was really good and drew me in. 
 For much of the book I thought the main character (Richard) was too weak of a character for me to like much, but I liked how he grew in confidence towards the end. I think anytime one undertake's an adventure or a journey like that you grow so much. You have to get out there and fail a few times to have the confidence to know how to succeed! 
 I also have to say I loved Mister Croup and Mister Vandemar. Their dialogue and interaction was hilarious. It really reminded me of Mister Wint and Mister Kidd from James Bond's Diamonds are Forever.",analysis
"Seven amazing stories. Each one you think can't possibly top the last, and then it does. We never really get to understand what is up with the Time Tombs - guess I have to keep reading. But the strength of each of these stories is worth it. One of the best books I've read in a while.",reaction
"An epic book - loved it, and wish I had found it before now. It does start a bit slow, but then really picks up. It's the story of a young man in 1905ish who graduates from Harvard and then is sent by his rich uncle to be the consul to the made up country of Islandia, which is closed to trade with the outside world. 
 Islandia is described so clearly you could almost believe it wasn't a made up country. You can feel it's beauty, it's pureness, and it's culure, coming through the pages. 
 Many of us went through idealistic phases in our 20's, and John Lang is no exception. He is trying to decide what will make him happy: Islandia, or a life in New York as a businessman. He is also searching for love, and seems to have a crush on every Islandian woman he meets! 
 Wright does an amazing job of describing what the Islandian culture is like. They are largely farmers: they work in the field all day, and their land provides what they need to eat and money to buy the rest. They don't have to work super hard, and have plenty of time for leisure. Their society closed and smaller, so people are very decent to each other. There aren't very many towns or central social hubs, so socializing is often accomplished by staying as a guest in someones farm house as you are traveling through the country, and you can do that totally unannounced. 
 Islandia is a utopia of sorts - they believe that progress in their culture will not lead to improving their lives. It is an interesting question - does technological progress actually end up making our lives better? Technology is supposed to improve the quality of our lives. We have better medicines, cleaner cities, we can communicate instantly around the world, and travel on cars and trains and planes. 
 But we lack the notion of a ""home"" that spans across generations or even multiple family units. Cousins and uncles and grandparents are only seen several times a year during family parties and holidays. In a sense, our society has shifted from being family centric to friend centric, as friends are the people we hang out with socially in the cities, where most of us live. This gives us often a richer variety of people and ideas to interact with, but the the connections are often not as close, and that is sad.",analysis
"** spoiler alert ** 
 I absolutely loved the first book, but didn't think the series finished as strong as I would have liked. 
 Too many plot holes and things that didn't make sense. Maybe it was because it's supposed to be a children's book, but I didn't like things like how the harpies were so easily convince to change sides, how God's #2 is easily tricked by a little flirting, how Lyra & Will can suddenly easily lose their Daemons, and how two kids making love can save the universe. 
 On the other hand the book did make you think, and I suppose religious ideas are probably best challenged in a children's book :) I did like the Dante's Inferno-esque description of the world of the dead, and Pullman's description of angels and their roles was brilliant. Also, the descriptions of how things evolved differently in different worlds was very interesting - particularly the Mulefa's world and the descriptions of the Gallivespians. I'm usually not a tragedy fan, but I did think Lyra & Will being separated at the end was a romantic and appropriate ending.",analysis
"Loved every second, and didn't want it to end, so I had to find a book store and buy the next two! Its a Harry Potter reading level and similar type fantasy story, but sometimes thats what you need on a long flight to NYC for the holidays! 
 I think as a child we all daydreamed about alternate worlds, so I love how thats the basis for the book. Thinking about all the permutations of how things could turn out differently is kinda fun :) I think if I had a Daemon I would hope she'd settle on being a lynx.",reaction
"When people ask me what my favorite book is, Dune is always my answer. Words cannot even do justice to what an epic tale this is. We learn about spirituality, human nature, politics, religion, and the making of a hero. 
 I loved the spiritual aspects of the book the best. The philosophies and practices and Pranu Bindu training of the Bene Gesserit that Paul learns and builds upon. The Bene Gesserit believe in a training regiment that results in a superior human being - one with every sense as refined as possible. This means a focus on learning, on controlling emotion, on controlling your body. 
 My absolute favorite quote from Dune is the Bene Gesserit litany against fear: 
 ""I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain."" 
 The litany is meant to be recited when you are in a moment of fear, and as I first read Dune 20 years ago, I've employed it many times. After Paul employs it when he is fighting Jamis, the affect on him is described as ""a cool bath washing over him. He felt muscles untie themselves, become poised and ready."" I have read a lot about people who perform at high levels - whether it be in athletics or business, and success is all about getting into that zen state where you have a clear, focused mind. Fear is the biggest thing that can cloud one's mind - usually fear of failure, but there are other forms too. While this Litany won't always eliminate it, I've felt it to be useful to recognize the fear and call it out for what it is. 
 There is also a focus in the book on being able to read people by paying attention to the minutia. In many crucial scenes we see Paul and Jessica and others employing this skill, using not only their eyes, but reading the tone of what a person says, what their body language or actions say, and more. Imagine the poker player I could be if I learned these skills! 
 ""If you rely only on your eyes, your other senses weaken."" 
 It's interesting to me that so many science fiction novels contemplate a future with AI (aka post-singularity). In Dune, the Butlerian Jihad was the human rebellion to rid itself of AI or ""thinking machines"". They are now banned, and in their place we have Mentats, who are humans with processing powers far greater than any thinking machine. It's unclear to the software engineer in me how exactly that could be without some sort of physical manipulation (insertion of massive amounts of transistors, for instance), but the affect is pretty cool, we get Spock-esque beings who analyze everything extremely logically, and are great at political planning ""feints within feints within feints"". 
 There was a lot in the book about leadership. It started with Paul first learning about it from his Father, and also from the Bene Gesserit. This quote stood out to me: 
 ""She asked me to tell her what it is to rule,"" Paul said. ""And I said that one commands. And she said I had some unlearning to do."" She hit a mark there right enough, Hawat thought. He nodded for Paul to continue. ""She said a ruler must learn to persuade and not to compel. She said he must lay the best coffee hearth to attract the finest men."" 
 Later as he grows into a leader himself, Paul learns that the most essential ingredient to be a leader is to lead people to a worthy goal. 
 ""It was another of the essential ingredients that she felt her son needed: people with a goal. Such people would be easy to imbue with fervor and fanaticism. They could be wielded like a sword to win back Paul's place for him."" 
 Much has been made in modern reviews of Dune of the fact that it's clearly a statement about oil and the Middle East. The book even admits the Fremen are of Sunni descent, and many words they use (Jinn, Jihad, etc) are Arabic. I'm not sure I understand all the undertones, but one thing that was clear was about control of the worlds most precious commodity: ""The people who can destroy a thing, they control it."" I hope we are closing in on the end of the days when oil controls so much, but we aren't there yet. In the meantime, we had best beware of any future Harkonnen's.",analysis
"After the first read, this book is the worst one in the Harry Potter series. Characters are not as likeable as they are in the other books. However, I recently reread it (after reading book 6), and found it to be a very good read.",analysis
"Ehhhhhh. 
 Really nothing to rave about. It was not poorly written in terms of style or technical aspects. The story was not particularly interesting and I feel it is a bit overdone. It does not stand out from other vampire fiction to me. The ""romance"" happened far too quickly, in my opinion. I would expect vampires who have lived so long to be a little harder to get in the sack, but... Even for a short story, it was short. 
 I feel like the author is capable of more. I would like to see a longer story from her. :)",analysis
"Enjoyable read! I liked that Connie is not a typical cold-hearted, sexy, perfect, genius, vampire hunter. She's like a real person with flaws and weaknesses and fears. 
 I really enjoyed the style of writing. I'm not usually a big fan of first person perspective, but I feel the author used a great balance of dialogue, descriptive text, and the character's ""voice"" really shone through without being too colloquial. 
 Vampire fiction is a tricky subject these days as it's becoming so common, but I feel like this book was unique enough to stand out. I can't wait to read more!",analysis
"Keeping in mind I'm someone who has watched movies such as Martyrs and can watch/read crime scene details while keeping a straight head... 
 This book was far too disturbing. Basically it felt like the authors wrote these stories merely for shock value. It included things like graphic cannibalism, sexually gratifying murder, pedophila, and extreme perversion all around. Particularly the stories by ""B.C Lawson"" disturbed me and made me wonder if he is actually a perverted serial killer. And who wants their work of fiction to create that worry... 
 There were a few stories that stood out from the rest as actually quite well-written. As it's a collection, I can't paint all authors included with the same brush. But I feel it's almost unfortunate for those few authors who have talent and didn't just spew out filth to be included with the rest.",reaction
"I have to be honest, not a fan of this book. It was not that the writing was poor, but it really did feel like a ploy to force religion down my throat. It's set up like a horror novella, but ends up feeling like a sermon. It felt very rushed to me. I did like the main character and feel there is potential, but I feel the author needs to explore either genre more fully; either religious fiction OR horror. Or, find a way to successfully cross over that fans of either genre would both enjoy.",analysis
"I never thought I would enjoy a zombie books with a mix of romance. Amy wrote a beautiful book that is fast paced with a smooth transaction that leaves the reader not wanting to put the book down. This is not a ""eat brains"" type of zombie series. It is more about the lives of people who became undead and how they now live their lives with a mix of love. I wish I would have read this book much sooner, than waiting for over a year after adding the series to my ever growing book list.",reaction
Such a good end and wrap-up to such a loved series. I waited for four years for this book. I was not disappointed. And I may seriously never get tired of Gabriel,reaction
"Okay so can I just say I finished this book in two weekdays, while working and being a full time engineering student. that's how much it gripped me 
 So good. And I ship it so much. But also.... More paranormal Focus again please... It feels like it's kinda getting lost(decision wise... Was any progress actually made?) 
 Also REALLY glad it didn't end on a cliffhanger. It was a nice end :) hopefully it can last me another year 
 All I know is - please get me the next book. And quick",reaction
"ARGH. 
 Literally. I thought this would be the book where it would F.I.N.A.L.L.Y. happen but nope! 
 I'm gonna to punch a wall. A brick wall. With lots of bricks. 
 This book kinda overplayed the whole triangle. And Gabriel... I get Armstrong is making subtle moves with him as it is his character but really 3 books?!? I was happy with it lasting one, even two, but three is kinda pushing it. 
 But man I'm instead to see how see plays the next two books I just wish I didn't have to wait for them D: 
 BUT MY SHIPPPPPPPPPPPPPPPPPPPPPPPPP",reaction
"Gabriel. I mean I love the way this story is. No love at first sight, slow, but stringing us along in the romance department, and a strong female lead who can be stupid at times, but is still pretty great. 
 But Gabriel. If you don't like anything else about this series read it for Gabriel. He's my favourite character by far, and just the way he's developed and the more you learn about him... ugh. 
 (I'M ROOTING FOR THIS ROMANCE AND I SHALL NEVER STOP, but I love the fact it's been 2 books and is still slowly developing; its so different than so many other books coming out lately) 
 But seriously.. Next book please (I couldibihg barely survive a weeks wait for visions how can I last a year for the next?)",reaction
"I just... I can't. I completely can't. 
 Those last 10 pages I was bawling. Bawling my eyes out. Let's just say I got the pages wet... But Kaylee went through hell, literal hell, and she FINALLY got her happy ending and I cannot be happier. 
 Kaylee and Tod... and Nash... and everyone... You dang well deserve your happy ending.",reaction
"When I read that ending I was crying, then shaking, then screaming, failing, in shock, I'm more shock, and then I died a death of extreme happiness... I can't believe that all happened and In what, less than 5 pages? 
 I'm still shaking.",reaction
"This book was really good! Like, it went by super fast and before I knew it I was at the last 10 pages already... I literally wasn't bored for a minute. 
 Only thing that bugged me was there was a lot of metaphors that drove me crazy something like JUST SAY WHAT YOURE TRYING TO SAY. 
 But it was amazing... I love Adam and I don't want to love Warner but I definitely feel like it's gonna happen... 
 Be warned, you'll pretty much want to read this is one sitting",reaction
"OMG. SO. I totally thought taken at dusk was the end.... THEN WHISPERS AT MOONRISE APPEARED. AND OMG I JUST FINISHED IT AND I LEARN, THERES A FIFTH, CHOSEN AT NIGHTFALL. 
 FINALE. OMG I CANT BELIEVE THE SERIES IS GONNA END.... THIS BOOK BETTER BE A-M-A-Z-I-N-G. 
 And is it just me or is she brunette now? 
 And Kylie... PICK LUCAS. OR DEREK.... I LOVE LUCAS BUT DEREKS PROBABLY BETTER.. 
 ...Brunett better be in this book or I will cry. Literally. 
 APRIL 30TH COME FASTERRRRRRRRRRRRR.",reaction
"AHHHHH ENDING WAS SO UNEXPECTED D: for me at least.... :) basically durning whole book i was on the edge of my seat, just wondering what would happen next! i think its the best out of the series :)",reaction
"OMG..... i loved darkest powers... felt it ended to soon 
 then i heard bout the darkness rising, and heard something bout chloe and friends being in it.... 
 so i read the gathering..... and got majorly disappointed. 
 then, the day the calling came out i read it.... IT WAS WAY BETTER. AND OMG THE ENDING. THE ENDING. I WAS JUST DYING WHEN I WAS READING BOUT THE REFERENCES TO CHLOE AND THEM.... 
 I CANT WAIT A YEAR. 
 CHloe and Derek <3 i missed u Dx 
 All i know is...... the day it comes out im gonna buy it ASAP and stay up all night reading... especially considering it comes out right before my birthday! <3 
 i think im gonna just cy and curl up into a ball when its over tho D:",reaction
"Well... i found this book mostly really boring. 
 i found that i liked the romance in the beginning...then i found it getting kinda old, how thats ALL she'll think about. Also, i found there was barely any action in this book... i dont get the obsession some people have with this book xD Nothing interesting appened till the last 50 pages and then it ended before w barely knew anything xD 
 I give it like 2.5 stars... :) Also, if you read this book i say get the next one too... i guess im interested enough to read the next to find out what happens :)",analysis
"OMG I CANT. 
 LETS JUST SAY..... 
 I 
 HATE 
 CLIFFHANGERS. 
 AND KYLIE... WHY!?!? THE BOOKS WILL NEVER BE AS GOOD ANYMORE!! I THINK.......... I HOPE IM WRONG.... 
 AND LUCAS.. I CANT.. 
 I don't know why but i love him more than Derek.... BUT LUCAS NOW I JUST WANNA PUNCH YOUR FACE OUT. LIKE DO THAT THEN JUST LEAVE AND NOT SAY GOODBYE? ARGH. EMOTIONS. 
 ANYWAYS... this book was so good compared to the other books... I felt the beginnning was kinda slow... but as you got reading and so many new thing that you didn't expect were thrown at you.... YOU GET SO INTO IT. 
 THE ENDING I LITERALLY CRIED. CRIED. 
 AND FINALLY.... let just say i LOVE burnett! we're talking fav character here!!",reaction
"Seriouly sad this is the last book :( but i cant wait <3 i LOVE kelley armstrong's books, shes so talented :) kinda sad the last book froms Savannah's view, but oh well:)",reaction
"Well... first off Kelley Armstrong is my FAVOURITE AUTHOR EVER.... ALLL her books are AMAZING.. especially DP and WOTOW 
 Secondly.... this book was too... how do I put it? happy endingyish... I mean the ending, cmon, after everything, THAT?!?! Gosh.. 
 Third.. I never liked DR too too much but I was really excited for the rising, for chloe and cuz I liked the series, I don't know. But this book honestly wasn't too good... I didn't like the cabals and how they were (WOTOW so much better), the choices (like wut?), and just the ending! 
 Fourth, DEREK AND CHLOE WERE COMPLETELY THE BEST PART... but how do I put this.. they seemed really different from DP and I mean I kinda get it but it kinda ruined it for me... 
 So.. this book was good, and as much as I want more... more would ruin the whole storyline for me... I think this one was just on the edge:) 
 OH AND I LOVED THE CONNECTIONS TO WOTOW, AT EVERYONE I WAS JUMPING UP AND DOWN",analysis
"I read this book almost 3 years ago and it's still my favourite book ever. Ever. 
 I re-read it time and time again and fall in love every time.... Derek please let me marry you. 
 I seriously recommend this book, it's different, amazing, and the series will take you on a journey. 
 Kelley Armstrong is a genius, and if you've read the Women of the Otherworld series you'll notice subtle links between the two that get bigger as the series progresses, setting the 3 series (Including Darkest Rising) in the same universe, which makes it a more enjoyable and wonderful experience to fans of Kelley Armstrong's work..... 
 Ignore my rambling and seriously pick up this book. 
 You won't regret it",reaction
"I can't help but squeal with amazement after reading this series. It was dangerously sexy, thrilling, and pure fun. It made me (and still tempts me) to catch a plane to Dublin and study abroad. So. so. amazing.",reaction
"*CONTAINS SPOILERS* 
 I would probably rate this book 1.5 stars out of 5 JUST because of its intense and creepy ass ending. I really did not enjoy how slow this book was until the last 80 pages or so. Amazingly, I got through it after putting this book down several times. 
 I've got to admit, I was drawn by the cover. It sounded pretty interesting, but I should've read a couple of pages in before renting it out at the library (glad I didn't pay for this book) because I totally did not know it was set in a high school setting. Blah! I hate those kinds of settings, but that's just my preference. 
 As for the plot... Sheesh! Was it really necessary for things to turn out like they did? I was shocked.. What kind of karma is that?! Hell, it really was unfair. I felt that it was a bit.. no, not even.. WAY too cruel for consequences. 
 The main character, Em, was pretty relatable which I liked a lot. She wasn't annoying; thank god! The other characters, not-so-likeable. They were quite bland when it came to being a complex character. Chase was just, wow, amazingly arrogant and totally irresponsible. A complete jerk who wouldn't be liable for any of his actions and swathed by the words or beauty of a Fury. Ergh, he had no backbone and I hated that. I enjoyed how Em turned out at the ending of the story and what she went through was PRETTY dang creepy. As I said, I loved the end but I definitely hated having to wait 300 pages until the story got interesting. 
 *END RANT* :L",analysis
"Amazing!! Higginson is now one of my most admired authors. Her extraordinary and captivating imagination portrayed in this book rendered me speechless and at awe. I was a bit hesitant to read this series, but after reading the first book of the series I fell in love with it. I guarantee that you will not be disappointed by reading this series. It was an incredibly written series that was well tied with explanations and beautiful details of the settings. The main characters were dymamic and complex which made the series highly interesting. Purely magical.",reaction
"I was pretty excited for this one but unfortunately... I was pretty disappointed. 
 The only part of the book that was interesting for me was the last 100 pages (Nook eBook edition); but that's just me. There were a lot of things going on but it wasn't as intensely mind-blowing like the other books in this series. Unlike the other books in this series (where I was hooked from the beginning to the end) I was struggling to actually finish this book until I reached those last 100 pages. I will admit that I enjoyed how she ended this book and I loved how she made readers think hard about Sebastian and his truthful plans. Besides that, I don't think I gained any new insight to any of the characters besides Simon's way of thinking when it comes to relationships. 
 I simply ""liked"" this book, rather than ""loved"" it and it pains me to say it because I love this series. Either way, I still love this series and will read the next :)",analysis
"""You smile like the devil,"" Mona said. 
 ""The devil doesn't smile,"" he said. ""The devil smirks."" 
 STUNNING!! Ms. Reisz proves once again she is the Queen of erotica. The story and characters are all richly drawn and unforgettable. Mona Lisa St. James made a promise to her mother that she would do anything at all to save their art gallery. But the gallery is in financial trouble and she must sell it. And soon. 
 But then a handsome Englishman arrives and makes her an irresistible offer. He will save her gallery. But she must agree to be his for one year. 
 ""You were meant to do this,"" he said softly. ""You'll see."" 
 ""Why me?"" she asked. ""Millions of women in this country, millions in yours...why me?"" 
 ""Millions of paintings in this world. Only one Mona Lisa. Billions of women in this world. Only one you, Mona Lisa St. James."" 
 And so begins the most erotic and sensual adventures Mona has ever had. A sexual awakening of sorts, Mona and the mysterious Malcolm shares his most erotic and depraved fantasies. Yet each and every encounter is sexy and beautiful and simply stunning!! Malcolm is judgement-free and slowly begins to understand her true nature and what life has in store for her. 
 I can't even begin to describe how incredibly sensual and hot the scenes between Mona and Malcolm are. Each of their encounters is a wild and delightful fantasy, interwoven with mythology, history and lush eroticism. 
 ""Is this all a dream?"" That's the only thing that makes any sense. 
 ""You aren't dreaming,"" he said, and she knew that was true. She was awake and had been every time they had met. ""But if you were a dream, would you want to wake up?"" he asked. 
 A good question. A fair question. A hard question, but one she answered easily. 
 ""Never."" 
 I absolutely loved the conclusion to this gorgeous story. It was surprising and thrilling and completely satisfying! I fell in love with the rakish Malcolm. This book is unlike anything I've ever read. Tiffany Reisz writes with sensuality and skill. 'The Red' is a must-read for all erotic romance lovers!! 
 ""Do anything you must, but keep me forever."" 
 (With many thanks to the author for a review copy.)",analysis
"4.5 - 5 GORGEOUS STARS 
 ""No rules. Live out loud. Find the sunshine."" 
 Simply stunning!! Emma Scott writes THE most lyrical and gorgeous fiction. Nik and Fiona have a permanent place in my heart! 
 Called a contemporary romance ""with paranormal elements,"" I found this book to be incredibly moving and very, very touching. I would not exactly characterize the story as paranormal but more the tale of a deeply empathetic man who is simply searching for love and acceptance. And please don't be put off by this being the second book in a series. I have not read the first book and I absolutely fell in love with these characters and the plot. This book is a total standalone! 
 Nik and Fiona are both lost and simply wishing for a better life. For Nik, he only wants to silence the cacophony of sounds and colors he sees and for Fiona, it is the hope of a new life in Costa Rica. And when they meet, it is pure magic. 
 ""But it wasn't what was wrong with me, anymore. It was what was right. The girl exuded a calm that danced along my skin, and when I inhaled, it was like breathing in the scent of something delicious but far away. The thrumming life all around me grew quiet. For the first time, I felt close to peace, and I wanted more."" 
 What begins as a one-night stand with zero expectations for the future turns into a burning hot love and a deep, unbreakable connection. Emma Scott's love scenes are beautiful and SEXY and a joy to read! 
 ""Nikolai Alexei,"" she whispered and cupped my cheeks to look at me in the dimness. ""Who are you?"" 
 There are very important messages in this book as well as some very gritty and heartbreaking scenes. But ultimately the message is one of hope and acceptance and unconditional love. Once again, I won't soon forget the characters created by Emma Scott. A must-read! 
 ""Love and hope,"" she said. ""That's life to me."" 
 (ARC provided by the author in return for an honest review.)",reaction
